year	source	legend	notes
1929	1929 Zoning Map_City of Charlottesville_georeferenced.tif	1929 Zoning Legend.png	RGB 11.3 ft/px; small original scan
1939	1939 Zoning Map superseded 1949 - clean2_georeferenced.tif	1939 Zoning Map Legend.png	gray 3.1 ft/px; "superseded 1949" print
1949	1949 Zoning Map - cleaned_georeferenced.tif	1949 Zoning Legend.png	gray 3.1 ft/px
1958	1958 Zoning Map - smallerer - clean_georeferenced2.tif	1958 Zoning Map Legend.png	gray+alpha 11.2 ft/px
1963	1963 Zoning Map pg 2 - cleaned_modified.tif	1963 Zoning Legend.png	hand-georeferenced in QGIS 2026-07-10 (.points file alongside); supersedes scripts/georef_1963.py
1976	1976 Zoning Map With Amendments_georeferenced.tif	1976 Zoning Map With Amendments - Legend.png	RGB 4.1 ft/px
1991	1991 Zoning Map_modified.tif	1991 Zoning Legend.png	RGB 4.7 ft/px; georeferenced despite the filename
2003	2003 Zoning Map_georeferenced_deflate.tif	2003 Zoning Legend - smaller - rearranged.png	RGB 2.5 ft/px lossless; avoid the JPEG "smaller*" variants
2020	2020 Zoning Map_georeferenced.tif	2020 Zoning Legend.png	RGB 4.7 ft/px
2024	2024 Zoning Map.pdf	work:legend_2024	GeoPDF (Web Mercator + neatline) from widget.charlottesville.org/gis/map_gallery/ZoningMap_2024.pdf; legend cropped from sheet by prep
